date,open,high,low,close
2018-04-03-21:00,6457.8,6581.6,6296.5,6559.7
2018-04-04-21:00,6571.4,6644.2,6549.3,6594.8
2018-04-05-21:00,6588.9,6597.8,6398.8,6432.1
2018-04-08-22:00,6466,6610,6451.5,6475
2018-04-09-21:00,6479.9,6644.2,6463.8,6619.2
2018-04-10-21:00,6616.4,6655.9,6543.2,6586.9
2018-04-11-21:00,6592.2,6686.8,6582.7,6660.8
2018-04-12-21:00,6656.3,6706.3,6599.9,6628.4
2018-04-15-22:00,6680.1,6704.8,6634.3,6678.1
2018-04-16-21:00,6702.1,6839.8,6693.3,6821.9
2018-04-17-21:00,6819.8,6862.7,6792.4,6837.7
2018-04-18-21:00,6851.5,6862.1,6751.3,6777.7
2018-04-19-21:00,6775.8,6786.5,6642.8,6669.5
2018-04-22-22:00,6702.2,6725.5,6614.5,6651.3
2018-04-23-21:00,6661.8,6715.5,6465,6509.9
2018-04-24-21:00,6523.7,6544.4,6427.4,6519.3
2018-04-25-21:00,6596.4,6676.5,6557.5,6653.4
2018-04-26-21:00,6749.2,6770.2,6621.4,6659.6
2018-04-29-22:00,6698.2,6717.6,6595.5,6609.9
2018-04-30-21:00,6609.7,6688.2,6578.3,6684.2
2018-05-01-21:00,6717.2,6728.2,6637,6645.5
2018-05-02-21:00,6634.1,6669,6537,6644.8
2018-05-03-21:00,6668.4,6786.6,6608.9,6770.9
2018-05-06-22:00,6789.1,6850,6780.8,6825.3
2018-05-07-21:00,6815.6,6836.7,6770.2,6817.2
2018-05-08-21:00,6822.8,6899.9,6807.4,6894.9
2018-05-09-21:00,6898.8,6970,6887.6,6964.7
2018-05-10-21:00,6952.6,6975.4,6924.6,6955.4
2018-05-13-22:00,6970.5,7010.6,6955.6,6966.1
2018-05-14-21:00,6970.6,6973.8,6851.7,6890.1
2018-05-15-21:00,6886.2,6947.7,6870.1,6932.4
2018-05-16-21:00,6931.2,6955.6,6868.9,6903.4
2018-05-17-21:00,6896.6,6930.3,6856.4,6867.9
2018-05-20-22:00,6935.7,6952,6876.5,6907.5
2018-05-21-21:00,6905.8,6950.3,6885.8,6898.2
2018-05-22-21:00,6903,6956.7,6825.8,6956.6
2018-05-23-21:00,6954.6,6970.1,6881.6,6951.4
2018-05-24-21:00,6959,6999.7,6939.3,6960.5
2018-05-27-22:00,6980.2,7005.2,6967.9,6990.7
2018-05-28-21:00,6989.6,6992.4,6888.1,6930.1
2018-05-29-21:00,6943.3,6992.6,6916.3,6980.8
2018-05-30-21:00,6976.9,7022,6956.7,6975
2018-05-31-21:00,6979.7,7089.4,6978,7084.9
2018-06-03-22:00,7081.2,7151.3,7073,7146.7
2018-06-04-21:00,7146.5,7184.6,7137.4,7171.7
