dt,open,high,low,close,s1,s2,s3,SMMA,vix_d,aligned_long,aligned_short,close_above_smma,close_below_smma,consec_above,consec_below,armed_long,armed_short,armed_long_prev,armed_short_prev,long_entry_signal,short_entry_signal
2025-11-11 05:57:00-05:00,25507.2,25508.9,25504.8,25505.9,25512.61414209396,25512.071540700497,25511.10103346248,25509.44924436492,17.9,False,True,False,True,0,5,False,True,False,True,False,False
2025-11-11 05:58:00-05:00,25506.1,25512.6,25506.1,25512.2,25512.452583939365,25511.825125560354,25510.664344518227,25509.382829576614,17.9,False,True,True,False,2,0,False,False,False,True,False,False
2025-11-11 05:59:00-05:00,25511.9,25516.8,25509.6,25516.6,25512.312725415948,25511.64166352373,25510.51448447202,25510.830219717744,17.9,False,True,True,False,3,0,False,False,False,False,False,False
2025-11-11 06:00:00-05:00,25516.8,25518.1,25510.8,25511.4,25512.220974788266,25511.56984175873,25510.7377588991,25511.97847981183,17.9,False,True,False,True,0,2,False,False,False,False,False,False
2025-11-11 06:01:00-05:00,25511.6,25526.1,25510.9,25525.9,25512.197074033098,25511.63993142415,25511.34037656944,25514.193986541224,17.9,False,True,True,False,2,0,False,False,False,False,False,False
2025-11-11 06:02:00-05:00,25526.2,25528.1,25521.9,25526.2,25512.29329438298,25511.949649497692,25512.568452730033,25517.99599102748,17.9,False,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 06:03:00-05:00,25526.3,25526.3,25516.8,25521.1,25512.507289815825,25512.47157900802,25514.178485957687,25519.53899401832,17.9,False,False,True,False,4,0,False,False,False,False,False,False
2025-11-11 06:04:00-05:00,25520.8,25528.7,25518.9,25528.3,25512.80429477423,25513.113651446576,25515.782157014226,25521.084329345544,17.9,True,False,True,False,5,0,True,False,False,False,False,False
2025-11-11 06:05:00-05:00,25528.4,25532.4,25523.4,25527.6,25513.19489138498,25513.891232537408,25517.47342486316,25523.372886230365,17.9,True,False,True,False,6,0,True,False,True,False,False,False
2025-11-11 06:06:00-05:00,25526.9,25533.2,25526.4,25528.7,25513.682349621606,25514.803190101644,25519.262193690105,25525.181924153574,17.9,True,False,True,False,7,0,True,False,True,False,False,False
2025-11-11 06:07:00-05:00,25528.6,25528.8,25522.1,25523.6,25514.228627642824,25515.761000222465,25520.853506314554,25525.379616102382,17.9,True,False,False,True,0,2,False,False,True,False,True,False
2025-11-11 06:08:00-05:00,25525.7,25529.1,25521.8,25528.8,25514.80115266301,25516.697214398657,25522.103599595146,25525.703077401588,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 06:09:00-05:00,25526.8,25531.1,25526.2,25529.4,25515.403032658352,25517.627113034676,25523.185713024097,25526.593718267726,17.9,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 06:10:00-05:00,25529.6,25529.6,25520.8,25525.8,25516.021871853332,25518.530686209546,25524.09450663567,25526.545812178487,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 06:11:00-05:00,25525.7,25531.3,25522.2,25529.9,25516.640628904253,25519.379478508472,25524.790691125232,25526.78887478566,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 06:12:00-05:00,25529.8,25529.8,25522.9,25528.1,25517.259102526383,25520.183173217454,25525.3712936491,25527.075916523772,17.9,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 06:13:00-05:00,25528.2,25531.6,25526.1,25527.4,25517.87626398283,25520.947908344642,25525.88877751039,25527.492277682515,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 06:14:00-05:00,25527.6,25539.3,25527.6,25538.2,25518.517316840036,25521.734544375733,25526.56693672094,25529.38651845501,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 06:15:00-05:00,25536.2,25537.1,25526.2,25528.4,25519.1911548007,25522.562512499797,25527.42456756407,25530.249345636676,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 06:16:00-05:00,25528.7,25532.4,25524.4,25531.6,25519.860599926003,25523.35090161436,25528.132010610876,25529.924563757784,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 06:17:00-05:00,25529.6,25537.2,25527.6,25532.4,25520.517167770857,25524.08818952084,25528.691168268135,25530.51637583852,17.9,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 06:18:00-05:00,25530.6,25533.4,25522.9,25525.1,25521.148440540986,25524.755048290597,25529.072836739768,25529.677583892346,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 06:19:00-05:00,25525.3,25528.1,25521.2,25524.6,25521.712133638375,25525.269689775654,25529.036285694878,25528.051722594897,17.9,True,False,False,True,0,3,False,False,False,False,False,False
2025-11-11 06:20:00-05:00,25524.7,25525.3,25516.8,25524.6,25522.185533905802,25525.59949642549,25528.57089640496,25526.317815063263,17.9,True,False,False,True,0,4,False,False,False,False,False,False
2025-11-11 06:21:00-05:00,25524.3,25529.6,25521.6,25528.3,25522.588219307672,25525.804059935956,25527.978241074372,25526.195210042177,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 06:22:00-05:00,25528.4,25528.6,25520.7,25524.9,25522.946190116436,25525.949305341106,25527.492233856206,25526.01347336145,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 06:23:00-05:00,25524.7,25524.8,25520.6,25522.2,25523.247687314102,25526.013122066655,25526.978463361902,25525.03398224097,17.9,True,False,False,True,0,3,False,False,False,False,False,False
2025-11-11 06:24:00-05:00,25522.1,25523.9,25520.3,25521.2,25523.478773634073,25525.970652589458,25526.33286139326,25523.98098816065,17.9,True,False,False,True,0,4,False,False,False,False,False,False
2025-11-11 06:25:00-05:00,25521.1,25523.3,25513.2,25516.3,25523.624375253978,25525.796635275947,25525.478819459197,25522.145658773767,17.9,False,False,False,True,0,5,False,False,False,False,False,False
