date,side,entry_time,entryTime,entry_price,exit_time,exitTime,exit_price,sl,tp,exit_reason,pnl_points,r_multiple,news1,news2,news3
2024-07-23,SHORT,2024-07-23 10:50:00-04:00,10:50,19781.55,2024-07-23 10:57:00-04:00,10:57,19795.4,19795.4,19746.93,SL,-13.84708402,-1.0,,,
2024-07-24,SHORT,2024-07-24 09:40:00-04:00,9:40,19388.6,2024-07-24 09:47:00-04:00,9:47,19354.67,19402.17,19354.67,TP,33.93005131,2.5,apmi9,epmi9,
2024-07-24,SHORT,2024-07-24 10:39:00-04:00,10:39,19302.36,2024-07-24 10:48:00-04:00,10:48,19268.58,19315.87,19268.58,TP,33.77912208,2.5,apmi9,epmi9,
2024-07-25,SHORT,2024-07-25 09:48:00-04:00,9:48,18976.23,2024-07-25 09:54:00-04:00,9:54,18943.03,18989.52,18943.03,TP,33.20841121,2.5,,,
2024-07-25,LONG,2024-07-25 10:33:00-04:00,10:33,18909.97,2024-07-25 10:34:00-04:00,10:34,18896.73,18896.73,18943.06,SL,-13.236978,-1.0,,,
2024-07-26,SHORT,2024-07-26 09:51:00-04:00,9:51,18938.72,2024-07-26 09:52:00-04:00,9:52,18951.98,18951.98,18905.58,SL,-13.25710665,-1.0,pce,,
2024-07-26,SHORT,2024-07-26 10:41:00-04:00,10:41,18927.84,2024-07-26 10:42:00-04:00,10:42,18941.09,18941.09,18894.72,SL,-13.24948767,-1.0,pce,,
2024-07-29,LONG,2024-07-29 09:48:00-04:00,9:48,19189.21,2024-07-29 09:49:00-04:00,9:49,19175.78,19175.78,19222.8,SL,-13.43244975,-1.0,,,
2024-07-29,SHORT,2024-07-29 10:35:00-04:00,10:35,19123.45,2024-07-29 10:36:00-04:00,10:36,19136.84,19136.84,19089.99,SL,-13.38641621,-1.0,,,
2024-07-30,SHORT,2024-07-30 09:59:00-04:00,9:59,19070.38,2024-07-30 10:00:00-04:00,10:00,19083.73,19083.73,19037.01,SL,-13.34926516,-1.0,cb-cc,jolts,
2024-07-30,SHORT,2024-07-30 10:32:00-04:00,10:32,19024.64,2024-07-30 10:35:00-04:00,10:35,18991.35,19037.96,18991.35,TP,33.29312865,2.5,cb-cc,jolts,
2024-07-31,LONG,2024-07-31 09:57:00-04:00,9:57,19240.04,2024-07-31 10:01:00-04:00,10:01,19273.71,19226.57,19273.71,TP,33.67006454,2.5,,adp-nfp,fomc-s
2024-08-01,LONG,2024-08-01 09:48:00-04:00,9:48,19492.11,2024-08-01 09:50:00-04:00,9:50,19478.47,19478.47,19526.22,SL,-13.64447713,-1.0,apmi1,,
2024-08-01,SHORT,2024-08-01 10:20:00-04:00,10:20,19406.98,2024-08-01 10:21:00-04:00,10:21,19373.01,19420.56,19373.01,TP,33.9622075,2.5,apmi1,,
2024-08-02,SHORT,2024-08-02 10:13:00-04:00,10:13,18318.58,2024-08-02 10:14:00-04:00,10:14,18286.53,18331.41,18286.53,TP,32.05752127,2.5,,ur,nfp
2024-08-05,LONG,2024-08-05 09:50:00-04:00,9:50,17775.31,2024-08-05 09:51:00-04:00,9:51,17806.42,17762.87,17806.42,TP,31.10680119,2.5,epmi1,,
2024-08-06,SHORT,2024-08-06 09:46:00-04:00,9:46,17891.1,2024-08-06 09:47:00-04:00,9:47,17903.63,17903.63,17859.79,SL,-12.52377236,-1.0,,,
2024-08-06,LONG,2024-08-06 10:07:00-04:00,10:07,18052.41,2024-08-06 10:08:00-04:00,10:08,18084.0,18039.77,18084.0,TP,31.59171983,2.5,,,
2024-08-06,LONG,2024-08-06 10:50:00-04:00,10:50,18193.3,2024-08-06 10:51:00-04:00,10:51,18180.56,18180.56,18225.14,SL,-12.73530923,-1.0,,,
2024-08-07,LONG,2024-08-07 09:33:00-04:00,9:33,18365.78,2024-08-07 09:34:00-04:00,9:34,18352.92,18352.92,18397.92,SL,-12.85604434,-1.0,,,
2024-08-07,SHORT,2024-08-07 10:30:00-04:00,10:30,18332.7,2024-08-07 10:32:00-04:00,10:32,18345.53,18345.53,18300.62,SL,-12.83288939,-1.0,,,
2024-08-07,LONG,2024-08-07 10:52:00-04:00,10:52,18422.12,2024-08-07 10:54:00-04:00,10:54,18409.23,18409.23,18454.36,SL,-12.8954847,-1.0,,,
2024-08-08,SHORT,2024-08-08 09:47:00-04:00,9:47,18038.85,2024-08-08 09:48:00-04:00,9:48,18007.28,18051.47,18007.28,TP,31.56797916,2.5,,,
2024-08-08,LONG,2024-08-08 10:18:00-04:00,10:18,18215.18,2024-08-08 10:20:00-04:00,10:20,18202.43,18202.43,18247.06,SL,-12.75062694,-1.0,,,
2024-08-09,LONG,2024-08-09 09:35:00-04:00,9:35,18375.96,2024-08-09 09:38:00-04:00,9:38,18408.12,18363.1,18408.12,TP,32.15793316,2.5,,,
2024-08-09,LONG,2024-08-09 10:15:00-04:00,10:15,18440.57,2024-08-09 10:16:00-04:00,10:16,18427.66,18427.66,18472.84,SL,-12.90839781,-1.0,,,
2024-08-09,LONG,2024-08-09 10:58:00-04:00,10:58,18441.57,2024-08-09 10:59:00-04:00,10:59,18428.66,18428.66,18473.84,SL,-12.90909663,-1.0,,,
2024-08-12,SHORT,2024-08-12 09:48:00-04:00,9:48,18464.14,2024-08-12 09:50:00-04:00,9:50,18477.07,18477.07,18431.83,SL,-12.92489849,-1.0,,,
2024-08-12,LONG,2024-08-12 10:17:00-04:00,10:17,18557.26,2024-08-12 10:21:00-04:00,10:21,18589.74,18544.27,18589.74,TP,32.47521215,2.5,,,
2024-08-13,LONG,2024-08-13 09:35:00-04:00,9:35,18761.15,2024-08-13 09:40:00-04:00,9:40,18748.02,18748.02,18793.98,SL,-13.13280413,-1.0,ppi,,
2024-08-13,LONG,2024-08-13 10:51:00-04:00,10:51,18838.83,2024-08-13 11:23:00-04:00,11:23,18871.8,18825.64,18871.8,TP,32.96795454,2.5,ppi,,
2024-08-14,SHORT,2024-08-14 09:45:00-04:00,9:45,18979.15,2024-08-14 09:47:00-04:00,9:47,18992.44,18992.44,18945.94,SL,-13.28540728,-1.0,cpi,,
2024-08-14,LONG,2024-08-14 10:56:00-04:00,10:56,18954.36,2024-08-14 11:03:00-04:00,11:03,18987.53,18941.1,18987.53,TP,33.17013764,2.5,cpi,,
2024-08-15,LONG,2024-08-15 09:32:00-04:00,9:32,19256.2,2024-08-15 09:33:00-04:00,9:33,19242.72,19242.72,19289.9,SL,-13.47934017,-1.0,,retail-sales,
2024-08-15,LONG,2024-08-15 10:24:00-04:00,10:24,19360.07,2024-08-15 10:35:00-04:00,10:35,19393.95,19346.52,19393.95,TP,33.88012388,2.5,,retail-sales,
2024-08-16,LONG,2024-08-16 10:05:00-04:00,10:05,19439.17,2024-08-16 10:07:00-04:00,10:07,19473.19,19425.57,19473.19,TP,34.01855612,2.5,,,
2024-08-16,SHORT,2024-08-16 10:51:00-04:00,10:51,19436.03,2024-08-16 10:52:00-04:00,10:52,19449.64,19449.64,19402.02,SL,-13.60522145,-1.0,,,
2024-08-19,SHORT,2024-08-19 09:31:00-04:00,9:31,19513.39,2024-08-19 09:36:00-04:00,9:36,19479.24,19527.05,19479.24,TP,34.14842944,2.5,,,
2024-08-19,LONG,2024-08-19 10:50:00-04:00,10:50,19530.74,2024-08-19 10:53:00-04:00,10:53,19564.92,19517.07,19564.92,TP,34.17879247,2.5,,,
2024-08-20,LONG,2024-08-20 09:51:00-04:00,9:51,19787.29,2024-08-20 09:55:00-04:00,9:55,19821.92,19773.44,19821.92,TP,34.62776548,2.5,,,
2024-08-20,SHORT,2024-08-20 10:19:00-04:00,10:19,19739.25,2024-08-20 10:22:00-04:00,10:22,19753.07,19753.07,19704.71,SL,-13.81747745,-1.0,,,
2024-08-21,LONG,2024-08-21 10:01:00-04:00,10:01,19797.2,2024-08-21 10:14:00-04:00,10:14,19783.34,19783.34,19831.84,SL,-13.8580377,-1.0,,,fomc-m
2024-08-21,LONG,2024-08-21 10:47:00-04:00,10:47,19880.66,2024-08-21 10:48:00-04:00,10:48,19866.75,19866.75,19915.46,SL,-13.916465,-1.0,,,fomc-m
2024-08-22,SHORT,2024-08-22 09:48:00-04:00,9:48,19894.3,2024-08-22 09:51:00-04:00,9:51,19859.49,19908.23,19859.49,TP,34.81502728,2.5,apmi9,epmi9,
2024-08-22,SHORT,2024-08-22 10:13:00-04:00,10:13,19820.84,2024-08-22 10:25:00-04:00,10:25,19834.71,19834.71,19786.15,SL,-13.87458745,-1.0,apmi9,epmi9,
2024-08-23,SHORT,2024-08-23 09:35:00-04:00,9:35,19647.08,2024-08-23 09:40:00-04:00,9:40,19660.83,19660.83,19612.7,SL,-13.75295556,-1.0,fed-chair-s,,
2024-08-23,LONG,2024-08-23 10:04:00-04:00,10:04,19748.1,2024-08-23 10:05:00-04:00,10:05,19734.28,19734.28,19782.66,SL,-13.82367333,-1.0,fed-chair-s,,
2024-08-23,LONG,2024-08-23 10:30:00-04:00,10:30,19801.05,2024-08-23 10:32:00-04:00,10:32,19787.19,19787.19,19835.7,SL,-13.86073541,-1.0,fed-chair-s,,
2024-08-26,SHORT,2024-08-26 09:51:00-04:00,9:51,19658.9,2024-08-26 10:01:00-04:00,10:01,19624.5,19672.66,19624.5,TP,34.40307509,2.5,,,
2024-08-27,SHORT,2024-08-27 09:47:00-04:00,9:47,19394.64,2024-08-27 09:48:00-04:00,9:48,19408.21,19408.21,19360.7,SL,-13.576245,-1.0,cb-cc,,
2024-08-27,LONG,2024-08-27 10:13:00-04:00,10:13,19503.09,2024-08-27 10:14:00-04:00,10:14,19489.44,19489.44,19537.22,SL,-13.65216315,-1.0,cb-cc,,
2024-08-28,SHORT,2024-08-28 09:50:00-04:00,9:50,19495.23,2024-08-28 10:00:00-04:00,10:00,19461.11,19508.87,19461.11,TP,34.11664628,2.5,,,
2024-08-28,SHORT,2024-08-28 10:53:00-04:00,10:53,19409.78,2024-08-28 10:54:00-04:00,10:54,19423.37,19423.37,19375.82,SL,-13.58684795,-1.0,,,
2024-08-29,LONG,2024-08-29 09:37:00-04:00,9:37,19517.9,2024-08-29 09:39:00-04:00,9:39,19504.24,19504.24,19552.06,SL,-13.66253338,-1.0,,,
