date,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,pnl_points,r_multiple
10/26/23,SHORT,2023-10-26 09:52:00-04:00,14272.448868584333,2023-10-26 09:54:00-04:00,14241.049481073449,14288.148562339778,14241.049481073449,TP,31.39938751088448,2
10/26/23,LONG,2023-10-26 10:54:00-04:00,14282.491283293062,2023-10-26 10:58:00-04:00,14266.78054288144,14266.78054288144,14313.912764116307,SL,-15.71074041,-1
10/27/23,LONG,2023-10-27 09:47:00-04:00,14248.26446159703,2023-10-27 09:48:00-04:00,14232.591370689273,14232.591370689273,14279.610643412543,SL,-15.67309091,-1
10/27/23,SHORT,2023-10-27 10:45:00-04:00,14205.183931975893,2023-10-27 10:47:00-04:00,14220.809634301067,14220.809634301067,14173.932527325545,SL,-15.62570233,-1
10/30/23,LONG,2023-10-30 09:43:00-04:00,14337.802076468206,2023-10-30 09:47:00-04:00,14369.345241036435,14322.030494184091,14369.345241036435,TP,31.54316456822926,2
10/30/23,SHORT,2023-10-30 10:24:00-04:00,14264.283384499502,2023-10-30 10:43:00-04:00,14232.901961053603,14279.974096222453,14232.901961053603,TP,31.38142344589869,2
10/31/23,SHORT,2023-10-31 09:39:00-04:00,14267.29856714096,2023-10-31 09:52:00-04:00,14235.91051029325,14282.992595564818,14235.91051029325,TP,31.388056847710686,2
10/31/23,LONG,2023-10-31 10:18:00-04:00,14313.560357096403,2023-10-31 10:35:00-04:00,14297.815440703596,14297.815440703596,14345.050189882015,SL,-15.74491639,-1
10/31/23,LONG,2023-10-31 10:55:00-04:00,14334.32845,2023-10-31 11:11:00-04:00,14318.560690886497,14318.560690886497,14365.863974778704,SL,-15.7677613,-1
11/1/23,LONG,2023-11-01 09:36:00-04:00,14455.047015723649,2023-11-01 09:43:00-04:00,14486.84811915824,14439.146464006353,14486.84811915824,TP,31.801103434590914,2
11/1/23,LONG,2023-11-01 10:28:00-04:00,14546.387891933538,2023-11-01 11:12:00-04:00,14530.386865252412,14530.386865252412,14578.389945295792,SL,-16.00102668,-1
11/2/23,SHORT,2023-11-02 10:05:00-04:00,14834.670905121427,2023-11-02 10:10:00-04:00,14802.034629130161,14850.989043117062,14802.034629130161,TP,32.63627599,2
11/2/23,LONG,2023-11-02 10:43:00-04:00,14860.220404001511,2023-11-02 13:11:00-04:00,14892.912888890314,14843.874161557109,14892.912888890314,TP,32.69248488880294,2
11/3/23,LONG,2023-11-03 09:34:00-04:00,14986.749608217448,2023-11-03 09:39:00-04:00,14970.264183648409,14970.264183648409,15019.720457355526,SL,-16.48542457,-1
11/3/23,SHORT,2023-11-03 10:24:00-04:00,15019.438604670186,2023-11-03 10:26:00-04:00,14986.395839739911,15035.959987135324,14986.395839739911,TP,33.04276493027464,2
11/6/23,LONG,2023-11-06 09:40:00-05:00,15159.908114120457,2023-11-06 09:43:00-05:00,15143.232215194925,15143.232215194925,15193.259911971521,SL,-16.67589893,-1
11/6/23,SHORT,2023-11-06 10:06:00-05:00,15130.160183541282,2023-11-06 10:22:00-05:00,15146.803359743179,15146.803359743179,15096.873831137491,SL,-16.6431762,-1
11/6/23,LONG,2023-11-06 10:43:00-05:00,15159.146677029765,2023-11-06 10:45:00-05:00,15142.471615685032,15142.471615685032,15192.49679971923,SL,-16.67506134,-1
11/7/23,LONG,2023-11-07 10:00:00-05:00,15221.848985565024,2023-11-07 10:09:00-05:00,15205.104951680903,15205.104951680903,15255.337053333267,SL,-16.74403388,-1
11/7/23,LONG,2023-11-07 10:36:00-05:00,15274.024997499406,2023-11-07 10:51:00-05:00,15307.627852493904,15257.223570002157,15307.627852493904,TP,33.60285499449856,2
11/8/23,LONG,2023-11-08 09:36:00-05:00,15327.094874118944,2023-11-08 10:00:00-05:00,15310.235069757413,15310.235069757413,15360.814482842006,SL,-16.85980436,-1
11/8/23,SHORT,2023-11-08 10:17:00-05:00,15293.843688751642,2023-11-08 11:24:00-05:00,15260.197232636388,15310.66691680927,15260.197232636388,TP,33.646456115253386,2
11/9/23,SHORT,2023-11-09 09:40:00-05:00,15307.85806426445,2023-11-09 09:52:00-05:00,15324.696708135143,15324.696708135143,15274.180776523068,SL,-16.83864387,-1
11/9/23,SHORT,2023-11-09 10:24:00-05:00,15310.017034158058,2023-11-09 11:01:00-05:00,15326.858052895634,15326.858052895634,15276.33499668291,SL,-16.84101874,-1
11/10/23,LONG,2023-11-10 09:46:00-05:00,15299.721385975145,2023-11-10 10:02:00-05:00,15282.891692450572,15282.891692450572,15333.38077302429,SL,-16.82969352,-1
11/10/23,SHORT,2023-11-10 10:31:00-05:00,15269.432273323846,2023-11-10 10:47:00-05:00,15286.228648824504,15286.228648824504,15235.839522322534,SL,-16.7963755,-1
11/10/23,LONG,2023-11-10 10:56:00-05:00,15289.759390036901,2023-11-10 11:03:00-05:00,15323.396860694982,15272.940654707862,15323.396860694982,TP,33.63747065808093,2
11/13/23,SHORT,2023-11-13 09:41:00-05:00,15435.380098873153,2023-11-13 09:55:00-05:00,15401.422262655633,15452.359016981914,15401.422262655633,TP,33.95783622,2
11/13/23,LONG,2023-11-13 10:21:00-05:00,15450.133225654963,2023-11-13 11:01:00-05:00,15484.123518751403,15433.138079106742,15484.123518751403,TP,33.99029309643993,2
